Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.0391, 0.0782, 0.06354, 0.06354, 0, 0.1369, 0.04888, 0.06843, 0.1173, 0.3861, 0.02933, 0.3079, 0.0782, 0.0782, 0.2199, 0.03421, 1111111111111111, 50, 70, 38, 1/785, 4.510085821151733, False
0.0391, 0.08309, 0.06354, 0.06354, 0, 0.1417, 0.04888, 0.07331, 0.1173, 0.391, 0.02444, 0.3177, 0.0782, 0.08309, 0.2297, 0.03421, 1111111111111111, 50, 70, 39, 1/785, 4.630400896072388, False
0.04399, 0.08309, 0.06843, 0.06354, 0, 0.1466, 0.05376, 0.07331, 0.1173, 0.4008, 0.02933, 0.3226, 0.08309, 0.08309, 0.2297, 0.03421, 1111111111111111, 50, 70, 40, 1/785, 4.750882387161255, False
0.04399, 0.08309, 0.06843, 0.06843, 0, 0.1466, 0.05376, 0.07331, 0.1222, 0.4057, 0.02933, 0.3324, 0.08798, 0.08798, 0.2395, 0.03421, 1111111111111111, 50, 70, 41, 1/785, 4.8700690269470215, False
0.04888, 0.08798, 0.07331, 0.07331, 0, 0.1515, 0.05376, 0.0782, 0.1222, 0.4106, 0.02933, 0.3324, 0.08798, 0.08798, 0.2444, 0.03421, 1111111111111111, 50, 70, 42, 1/785, 4.991362810134888, False
0.05376, 0.08798, 0.07331, 0.07331, 0, 0.1564, 0.05376, 0.0782, 0.1271, 0.4154, 0.02933, 0.3421, 0.08798, 0.09286, 0.2493, 0.03421, 1111111111111111, 50, 70, 43, 1/785, 5.112074613571167, False
0.04888, 0.09775, 0.07331, 0.07331, 0, 0.1613, 0.05376, 0.08309, 0.132, 0.4252, 0.03421, 0.347, 0.09286, 0.09286, 0.2493, 0.03421, 1111111111111111, 50, 70, 44, 1/785, 5.230835914611816, False
0.04888, 0.09286, 0.07331, 0.0782, 0, 0.1662, 0.05865, 0.08309, 0.132, 0.4301, 0.03421, 0.3519, 0.09775, 0.09286, 0.259, 0.0391, 1111111111111111, 50, 70, 45, 1/785, 5.352766275405884, False
0.05376, 0.09775, 0.07331, 0.0782, 0, 0.1662, 0.05865, 0.08309, 0.1369, 0.435, 0.03421, 0.3617, 0.1026, 0.1026, 0.2688, 0.0391, 1111111111111111, 50, 70, 46, 1/785, 5.471945524215698, False
0.04888, 0.09775, 0.0782, 0.0782, 0, 0.1711, 0.05865, 0.08309, 0.1369, 0.435, 0.03421, 0.3666, 0.1026, 0.1026, 0.2688, 0.04399, 1111111111111111, 50, 70, 47, 1/785, 5.591089725494385, False
0.05376, 0.1026, 0.08309, 0.08309, 0, 0.176, 0.06354, 0.08798, 0.1417, 0.4448, 0.03421, 0.3715, 0.1026, 0.1026, 0.2737, 0.0391, 1111111111111111, 50, 70, 48, 1/785, 5.713204383850098, False
0.05376, 0.1026, 0.08309, 0.08798, 0, 0.176, 0.06354, 0.08798, 0.1466, 0.4497, 0.0391, 0.3812, 0.1026, 0.1075, 0.2786, 0.04399, 1111111111111111, 50, 70, 49, 1/785, 5.832537889480591, False
0.05865, 0.1026, 0.08798, 0.08309, 0, 0.1808, 0.06843, 0.09286, 0.1466, 0.4545, 0.0391, 0.3861, 0.1075, 0.1075, 0.2835, 0.04399, 1111111111111111, 50, 70, 50, 1/785, 5.953383684158325, False
0.05865, 0.1124, 0.08798, 0.08798, 0, 0.1857, 0.06843, 0.09775, 0.1515, 0.4643, 0.0391, 0.391, 0.1124, 0.1124, 0.2884, 0.04888, 1111111111111111, 50, 70, 51, 1/785, 6.073870420455933, False
0.05865, 0.1075, 0.08798, 0.08798, 0, 0.1857, 0.06843, 0.09775, 0.1515, 0.4692, 0.0391, 0.3959, 0.1173, 0.1124, 0.2933, 0.04888, 1111111111111111, 50, 70, 52, 1/785, 6.193128824234009, False
0.05865, 0.1124, 0.09286, 0.09286, 0, 0.1955, 0.06843, 0.1026, 0.1564, 0.479, 0.0391, 0.4057, 0.1124, 0.1173, 0.303, 0.04888, 1111111111111111, 50, 70, 53, 1/785, 6.314421653747559, False
0.05865, 0.1173, 0.09286, 0.09286, 0, 0.1955, 0.06843, 0.09775, 0.1613, 0.479, 0.0391, 0.4057, 0.1222, 0.1173, 0.303, 0.04399, 1111111111111111, 50, 70, 54, 1/785, 6.435049295425415, False
